ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,Hatchback,90000,Manual,HYUNDAI,2010,300000,Third Party,5 Seats,Second Owner,1197,20.36,78.9,Bangalore,15
Diesel,SUV,70000,Automatic,BMW,2016,3981000,Third Party,5 Seats,Second Owner,2993,15.97,258,Bangalore,9
Petrol,Hatchback,52571,Manual,HYUNDAI,2016,627000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Bangalore,9
Diesel,Sedan,70000,Automatic,BMW,2010,1300000,Third Party,5 Seats,Second Owner,1995,16.07,181,Bangalore,15
Petrol,Sedan,61993,Manual,HONDA,2015,672000,Comprehensive,5 Seats,First Owner,1497,17.4,117.3,Bangalore,10
Diesel,SUV,57000,Automatic,HYUNDAI,2017,1825000,Comprehensive,5 Seats,First Owner,1995,16.38,182.46,Bangalore,8
Diesel,SUV,80000,Manual,TOYOTA,2021,3500000,Third Party,7 Seats,Second Owner,2982,14.24,174.5,Bangalore,4
Petrol,Hatchback,36359,Manual,HYUNDAI,2013,440000,Comprehensive,5 Seats,First Owner,1197,18.5,82.85,Bangalore,12
Diesel,SUV,70000,Manual,TATA,2019,1460000,Third Party,5 Seats,Second Owner,1956,17,138.1,Bangalore,6
Petrol,SUV,7500,Automatic,MG,2022,2041000,Comprehensive,5 Seats,First Owner,1451,19.09716276,141,Bangalore,3
Petrol,Sedan,30301,Automatic,HYUNDAI,2017,1033000,Comprehensive,5 Seats,First Owner,1591,17,121.3,Bangalore,8
Petrol,Hatchback,66000,Manual,HYUNDAI,2010,275000,Comprehensive,5 Seats,First Owner,1197,20.36,78.9,Bangalore,15
Petrol,Hatchback,56010,Manual,HYUNDAI,2017,676000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Bangalore,8
Diesel,SUV,47000,Automatic,MERCEDES-BENZ,2017,4290000,Comprehensive,5 Seats,First Owner,2143,17.9,170,Bangalore,8
Diesel,SUV,60000,Manual,NISSAN,2014,650000,Third Party,5 Seats,Second Owner,1461,19.01,108.5,Bangalore,11
Diesel,Hatchback,83829,Manual,MARUTI,2014,444000,Third Party,5 Seats,First Owner,1248,25.2,74,Bangalore,11
Petrol,Hatchback,10000,Automatic,RENAULT,2020,510000,Third Party,5 Seats,First Owner,999,22,67,Bangalore,5
